BAND 6 PERFORMANCE USING FILTER 6-1 AND	DETECTOR ARRAY B8	
[4,172] 					
mu	 L7		  L4	  L5
10	0.000		0.0094	0.0058	
10.02	0.019		0.0100	0.0073	
10.03	0.021		0.0103	0.0081	
10.04	0.007		0.0107	0.0088	
10.05	0.017		0.0110	0.0096	
10.06	0.027		0.0113	0.0104	
10.07	0.025		0.0116	0.0112	
10.08	0.027		0.0119	0.0120	
10.09	0.027		0.0122	0.0128	
10.10	0.030		0.0126	0.0136	
10.12	0.044		0.0159	0.0165	
10.13	0.037		0.0177	0.0018
10.14	0.065		0.0194	0.0195
10.15	0.053		0.0212	0.0210
10.16	0.052		0.0230	0.0226
10.17	0.049		0.0249	0.0241
10.18	0.068		0.0267	0.0256
10.19	0.084		0.0286	0.0272
10.20	0.109		0.0305	0.0288
10.21	0.124		0.0357	0.0334
10.22	0.134		0.0431	0.0381
10.23	0.173		0.0506	0.0428
10.24	0.175		0.0581	0.0476
10.25	0.217		0.0607	0.0524
10.26	0.256		0.0733	0.0572
10.27	0.286		0.0811	0.0621
10.28	0.344		0.0888	0.0670
10.29	0.384		0.0967	0.0719
10.30	0.443		0.1046	0.0769
10.31	0.492		0.1141	0.1011
10.33	0.544		0.1780	0.1502
10.34	0.614		0.2103	0.1751
10.35	0.680		0.2428	0.2002
10.36	0.725		0.2755	0.2256
10.37	0.794		0.3085	0.2511
10.38	0.823		0.3417	0.2769
10.39	0.862		0.3752	0.3029
10.40	0.890		0.4095	0.3292
10.41	0.907		0.4438	0.3633
10.42	0.930		0.4815	0.3974
10.43	0.960		0.5262	0.4317
10.44	0.965		0.5713	0.4661
10.45	0.971		0.6168	0.5005
10.46	0.969		0.6629	0.5350
10.47	0.980		0.7093	0.5696	
10.48	0.979		0.7365	0.6043	
10.49	1.000		0.7588	0.6391	
10.50	0.981		0.7812	0.6739	
10.51	0.969		0.8047	0.6839	
10.52	0.988		0.8228	0.6940	
10.53	0.974		0.8307	0.7042	
10.54	0.952		0.8398	0.7145	
10.59	0.957		0.8425	0.7671	
10.64	0.957		0.8516	0.7833	
10.70	0.948		0.8647	0.7908	
10.75	0.948		0.8875	0.8158	
10.80	0.923		0.9202	0.8413	
10.85	0.915		0.9512	0.8743	
10.90	0.893		0.9711	0.9081	
10.95	0.897		0.9876	0.9412
11.00	0.886		0.9988	0.9751
11.05	0.883		1.0000	0.9793
11.10	0.882		0.9807	0.9834
11.15	0.880		0.9283	0.9693
11.20	0.875		0.8728	0.9552
11.25	0.856		0.8524	0.9688
11.29	0.857		0.8410	0.9798
11.34	0.830		0.8197	0.9849
11.39	0.833		0.7971	0.9896
11.44	0.800		0.7875	0.9929
11.49	0.797		0.7683	0.9989
11.54	0.789		0.7223	0.9682
11.59	0.744		0.6799	0.9290
11.63	0.719		0.6306	0.9302
11.68	0.711		0.5711	0.9450
11.73	0.699		0.5124	0.9589	
11.78	0.666		0.4536	0.9721	
11.82	0.666		0.4133	0.9782	
11.87	0.628		0.3659	0.9806	
